"azon","faj","kormeret","telepules_id","meres"
"311","közönséges bükk","462","170","2006"
"312","közönséges bükk","412","171","2009"
"313","közönséges bükk","401","171","2009"
"314","fűz","656","41","2010"
"315","szelídgesztenye","578","19","2005"
"316","szürke nyár","686","172","2011"
"317","juharlevelű platán","703","64","2004"
"318","hárs","509","105","2006"
"319","közönséges bükk","508","18","2004"
"320","kocsányos tölgy","555","173","2003"
"321","közönséges bükk","460","120","2010"
"322","kocsánytalan tölgy","552","6","2010"
"323","közönséges bükk","414","128","2006"
"324","mocsárciprus","417","59","2010"
"325","fekete nyár","822","130","2010"
"326","gyertyán","372","18","2004"
"327","közönséges bükk","476","174","2004"
"328","kocsányos tölgy","550","175","2010"
"329","kocsányos tölgy","535","176","2002"
"330","fehér fűz","740","177","2009"
"331","kocsányos tölgy","625","152","2005"
"332","ostorfa","415","178","2009"
"333","óriás mamutfenyő","712","49","2007"
"334","barkóca berkenye","325","180","2007"
"335","mocsárciprus","383","162","2008"
"336","vörösfenyő","336","181","2009"
"337","fekete nyár","609","41","2009"
"338","közönséges bükk","410","17","2008"
"339","kocsányos tölgy","503","64","2004"
"340","közönséges bükk","414","32","2011"
"341","fekete nyár","697","182","2008"
"342","vénic szil","490","183","2006"
"343","közönséges bükk","415","3","2009"
"344","kocsányos tölgy","510","184","2010"
"345","nagylevelű hárs","543","185","2008"
"346","juharlevelű platán","612","66","2004"
"347","fehér eper","441","186","2009"
"348","szelídgesztenye","548","19","2005"
"349","kocsányos tölgy","549","13","2009"
"350","kocsányos tölgy","613","40","2010"
"351","kocsányos tölgy","644","187","2003"
"352","fekete nyár","731","188","2010"
"353","duglászfenyő","362","189","2008"
"354","mezei juhar","370","4","2008"
"355","juharlevelű platán","909","190","2004"
"356","közönséges bükk","465","32","2011"
"357","hárs","458","191","2002"
"358","fekete nyár","607","188","2010"
"359","kocsányos tölgy","558","192","2011"
"360","közönséges bükk","562","193","2002"
"361","gyertyán","328","56","2009"
"362","gyertyán","341","56","2009"
"363","kocsányos tölgy","506","194","2006"
"364","közönséges bükk","415","4","2008"
"365","kocsányos tölgy","607","195","2002"
"366","kocsányos tölgy","516","196","2010"
"367","kislevelű hárs","409","197","2011"
"368","hárs","407","198","2009"
"369","fehér fűz","645","45","2009"
"370","szelídgesztenye","502","199","2003"
"371","fekete nyár","658","86","2007"
"372","magas kőris","516","200","2007"
"373","közönséges bükk","414","32","2011"
"374","közönséges bükk","434","32","2011"
"375","közönséges bükk","421","201","2008"
"376","közönséges bükk","414","1","2007"
"377","kocsányos tölgy","575","202","2008"
"378","közönséges bükk","500","203","2008"
"379","fekete nyár","631","204","2008"
"380","vénic szil","457","118","2009"
"381","magas kőris","530","196","2010"
"382","szelídgesztenye","502","47","2009"
"383","lucfenyő","375","181","2009"
"384","közönséges bükk","459","17","2008"
"385","közönséges bükk","503","27","2004"
"386","gyertyán","334","56","2009"
"387","kocsányos tölgy","503","20","2011"
"388","közönséges bükk","408","84","2009"
"389","közönséges bükk","438","1","2007"
"390","közönséges bükk","475","14","2009"
"391","kocsányos tölgy","502","164","2004"
"392","kocsányos tölgy","570","20","2002"
"393","gyertyán","346","111","2011"
"394","gyertyán","312","56","2009"
"395","közönséges bükk","471","4","2008"
"396","fűz","698","41","2003"
"397","fekete nyár","930","131","2010"
"398","gyertyán","345","42","2010"
"399","juharlevelű platán","696","80","2003"
"400","kocsányos tölgy","630","118","2003"
"401","fekete nyár","656","131","2009"
"402","közönséges bükk","546","17","2008"
"403","kocsányos tölgy","697","205","2003"
"404","közönséges bükk","429","206","2009"
"405","közönséges bükk","440","14","2009"
"406","kocsányos tölgy","585","131","2009"
"407","juharlevelű platán","846","47","2002"
"408","közönséges bükk","428","18","2004"
"409","fehér akác","414","20","2011"
"410","közönséges bükk","519","207","2010"
"411","kocsányos tölgy","511","152","2005"
"412","közönséges bükk","450","27","2004"
"413","kislevelű hárs","432","20","2011"
"414","közönséges bükk","405","32","2011"
"415","fehér fűz","645","208","2009"
"416","kocsányos tölgy","601","209","2010"
"417","kocsányos tölgy","530","210","2003"
"418","fekete nyár","695","130","2010"
"419","közönséges bükk","539","211","2006"
"420","fekete nyár","625","57","2006"
"421","fekete nyár","815","131","2010"
"422","fehér nyár","746","212","2007"
"423","szelídgesztenye","611","213","2007"
"424","fekete nyár","613","41","2011"
"425","közönséges bükk","402","35","2009"
"426","közönséges bükk","441","42","2010"
"427","fekete nyár","830","40","2010"
"428","nagylevelű hárs","552","57","2003"
"429","fekete nyár","612","40","2010"
"430","kocsányos tölgy","505","214","2009"
"431","kocsányos tölgy","520","12","2004"
"432","kocsányos tölgy","546","60","2010"
"433","közönséges bükk","400","214","2004"
"434","fehér nyár","603","212","2007"
"435","vénic szil","433","40","2011"
"436","mezei juhar","355","9","2008"
"437","közönséges bükk","405","17","2008"
"438","fehér nyár","664","215","2007"
"439","közönséges bükk","488","9","2008"
"440","közönséges bükk","509","17","2008"
"441","közönséges bükk","478","1","2007"
"442","kocsányos tölgy","633","107","2005"
"443","epernarancs","372","132","2011"
"444","közönséges bükk","415","1","2007"
"445","kocsányos tölgy","520","216","2004"
"446","közönséges bükk","402","1","2007"
"447","japánakác","482","54","2009"
"448","fűz","834","208","2003"
"449","kocsányos tölgy","509","152","2005"
"450","szelídgesztenye","814","218","2002"
"451","közönséges bükk","415","120","2010"
"452","fehér eper","482","219","2009"
"453","kocsányos tölgy","593","220","2003"
"454","ezüsthárs","602","221","2004"
"455","kocsányos tölgy","694","154","2003"
"456","kocsányos tölgy","547","222","2007"
"457","közönséges bükk","428","4","2008"
"458","közönséges bükk","495","17","2008"
"459","kocsányos tölgy","546","223","2004"
"460","kocsányos tölgy","555","224","2006"
"461","fekete nyár","728","45","2009"
"462","szürke nyár","734","11","2011"
"463","fekete nyár","770","11","2011"
"464","kocsányos tölgy","521","225","2008"
"465","fűz","627","40","2010"
"466","korai juhar","468","226","2006"
"467","fűz","621","227","2010"
"468","fekete nyár","685","228","2010"
"469","kocsányos tölgy","560","43","2003"
"470","vörösfenyő","337","229","2009"
"471","közönséges bükk","431","230","2003"
"472","kislevelű hárs","510","183","2006"
"473","hárs","450","72","2006"
"474","fűz","832","41","2003"
"475","közönséges bükk","430","84","2009"
"476","közönséges bükk","403","120","2010"
"477","kocsányos tölgy","530","231","2004"
"478","kocsányos tölgy","533","232","2003"
"479","vörösfenyő","333","27","2010"
"480","kocsányos tölgy","537","62","2006"
"481","gyertyán","327","1","2007"
"482","kocsányos tölgy","502","12","2004"
"483","fehér nyár","800","233","2009"
"484","fekete nyár","762","130","2010"
"485","közönséges bükk","408","120","2010"
"486","fekete nyár","692","234","2004"
"487","kocsányos tölgy","750","235","2003"
"488","közönséges bükk","504","75","2009"
"489","ezüsthárs","625","236","2004"
"490","kocsányos tölgy","560","41","2003"
"491","magyar tölgy","531","195","2011"
"492","szelídgesztenye","501","49","2008"
"493","fehér nyár","900","237","2004"
"494","szelídgesztenye","521","238","2008"
"495","kocsányos tölgy","536","239","2008"
"496","kocsányos tölgy","542","209","2010"
"497","fekete nyár","651","45","2009"
"498","fekete nyár","651","188","2010"
"499","kocsányos tölgy","500","240","2010"
"500","kocsányos tölgy","580","241","2011"
"501","fekete nyár","696","242","2010"
"502","kocsányos tölgy","507","12","2004"
"503","kocsányos tölgy","526","243","2009"
"504","vénic szil","510","244","2004"
"505","császárfa","463","245","2007"
"506","közönséges bükk","435","17","2008"
"507","fekete nyár","683","246","2006"
"508","japánakác","455","119","2010"
"509","fehér nyár","715","131","2010"
"510","kocsányos tölgy","529","41","2010"
"511","hárs","420","247","2002"
"512","fűz","600","248","2010"
"513","közönséges bükk","400","120","2010"
"514","nagylevelű hárs","590","249","2004"
"515","vadgesztenye","447","121","2008"
"516","kocsányos tölgy","518","250","2003"
"517","közönséges bükk","412","1","2007"
"518","kocsányos tölgy","500","64","2009"
"519","juharlevelű platán","604","119","2004"
"520","fekete nyár","732","222","2008"
"521","kocsányos tölgy","514","222","2003"
"522","közönséges bükk","400","9","2008"
"523","kocsányos tölgy","506","251","2011"
"524","fehér akác","362","20","2011"
"525","juharlevelű platán","637","166","2010"
"526","kocsányos tölgy","599","252","2005"
"527","juharlevelű platán","610","166","2003"
"528","csertölgy","519","22","2009"
"529","kocsányos tölgy","511","89","2008"
"530","fekete nyár","655","55","2006"
"531","kocsányos tölgy","528","149","2004"
"532","duglászfenyő","467","253","2007"
"533","kocsányos tölgy","602","35","2009"
"534","magas kőris","500","53","2010"
"535","közönséges bükk","552","17","2008"
"536","fehér nyár","610","131","2009"
"537","kocsányos tölgy","630","66","2004"
"538","közönséges bükk","400","42","2004"
"539","hárs","432","90","2008"
"540","fehér nyár","605","131","2009"
"541","közönséges bükk","415","32","2011"
"542","nagylevelű hárs","1038","254","2003"
"543","kocsányos tölgy","560","44","2008"
"544","gyertyán","430","4","2008"
"545","közönséges bükk","410","17","2008"
"546","közönséges bükk","400","32","2011"
"547","közönséges bükk","441","1","2007"
"548","japánakác","403","255","2011"
"549","kocsányos tölgy","507","256","2011"
"550","közönséges bükk","421","17","2008"
"551","kocsányos tölgy","540","257","2009"
"552","kislevelű hárs","420","258","2010"
"553","erdei fenyő","314","191","2008"
"554","közönséges bükk","402","30","2010"
"555","gyertyán","311","56","2009"
"556","fekete nyár","852","259","2009"
"557","fekete nyár","672","45","2010"
"558","közönséges bükk","455","17","2009"
"559","szürke nyár","906","260","2008"
"560","közönséges bükk","418","22","2004"
"561","közönséges bükk","512","229","2007"
"562","magas kőris","500","27","2004"
"563","kocsányos tölgy","598","262","2004"
"564","kocsányos tölgy","534","21","2003"
"565","kocsányos tölgy","592","152","2005"
"566","fekete nyár","615","57","2006"
"567","enyves éger","384","27","2010"
"568","fekete nyár","692","40","2010"
"569","közönséges bükk","430","32","2011"
"570","kocsányos tölgy","560","74","2008"
"571","kocsányos tölgy","597","208","2003"
"572","kocsányos tölgy","580","263","2005"
"573","kocsányos tölgy","575","224","2006"
"574","közönséges bükk","596","32","2011"
"575","fűz","629","101","2010"
"576","fekete nyár","638","45","2009"
"577","kocsányos tölgy","693","20","2003"
"578","kocsányos tölgy","556","22","2004"
"579","kocsányos tölgy","598","20","2011"
"580","fehér nyár","630","264","2009"
"581","lucfenyő","372","181","2009"
"582","mezei juhar","361","9","2008"
"583","nagylevelű hárs","519","265","2008"
"584","kocsányos tölgy","511","15","2009"
"585","szelídgesztenye","628","49","2004"
"586","fehér fűz","602","45","2009"
"587","közönséges bükk","408","30","2010"
"588","közönséges bükk","468","17","2008"
"589","kocsányos tölgy","569","263","2005"
"590","közönséges bükk","423","266","2004"
"591","kocsányos tölgy","514","41","2010"
"592","kocsányos tölgy","529","222","2003"
"593","szelídgesztenye","816","267","2003"
"594","juharlevelű platán","728","268","2004"
"595","kocsányos tölgy","537","20","2010"
"596","kocsányos tölgy","525","74","2008"
"597","japánakác","530","217","2007"
"598","kocsányos tölgy","506","60","2010"
"599","hárs","489","269","2007"
"600","kocsányos tölgy","556","148","2002"
"601","kocsányos tölgy","606","224","2005"
"602","ezüsthárs","564","270","2007"
"603","mocsárciprus","358","59","2010"
"604","kocsányos tölgy","500","271","2004"
"605","kocsányos tölgy","580","272","2005"
"606","ezüst juhar","351","273","2009"
"607","közönséges bükk","406","32","2011"
"608","kocsányos tölgy","640","111","2011"
"609","ezüsthárs","500","132","2009"
"610","fekete nyár","924","274","2010"
"611","hárs","461","275","2004"
"612","fűz","602","40","2010"
"613","kocsányos tölgy","555","99","2004"
"614","lucfenyő","415","181","2009"
"615","kocsányos tölgy","531","276","2005"
"616","kislevelű hárs","691","17","2008"
"617","közönséges bükk","439","32","2011"
"618","kocsányos tölgy","547","277","2003"
"619","fekete nyár","847","278","2005"
"620","közönséges bükk","487","17","2008"
"621","nagylevelű hárs","467","279","2011"
"622","fehér nyár","722","131","2009"
"623","fehér nyár","630","98","2007"
"624","közönséges bükk","414","171","2009"
"625","molyhos tölgy","632","280","2002"
"626","kocsányos tölgy","551","239","2008"
"627","közönséges bükk","511","4","2008"
"628","kocsányos tölgy","583","43","2007"
"629","zöld juhar","400","281","2009"
"630","juharlevelű platán","637","166","2003"
"631","lucfenyő","418","181","2009"
"632","kocsányos tölgy","596","41","2009"
"633","juharlevelű platán","992","85","2004"
"634","közönséges bükk","505","4","2008"
"635","fehér nyár","660","33","2002"
"636","kocsányos tölgy","500","202","2008"
"637","fekete nyár","740","131","2010"
"638","fekete fenyő","340","178","2009"
"639","fekete nyár","644","41","2010"
"640","hegyi szil","402","27","2010"
"641","fűz","725","40","2010"
"642","fekete nyár","676","39","2011"
"643","ezüst juhar","403","283","2010"
"644","magyar kőris","565","284","2011"
"645","szelídgesztenye","586","49","2004"
"646","közönséges bükk","401","53","2010"
"647","közönséges bükk","438","93","2011"
"648","kocsányos tölgy","580","285","2011"
"649","közönséges bükk","423","14","2006"
"650","közönséges bükk","406","42","2010"
"651","kislevelű hárs","460","147","2010"
"652","kocsányos tölgy","510","60","2008"
"653","közönséges bükk","440","14","2010"
"654","fekete dió","626","286","2006"
"655","fekete nyár","688","131","2010"
"656","kocsányos tölgy","540","108","2003"
"657","kocsányos tölgy","524","121","2008"
"658","fehér fűz","715","287","2002"
"659","kocsányos tölgy","535","52","2003"
"660","kocsányos tölgy","565","288","2004"
"661","kocsányos tölgy","545","289","2003"
"662","gyertyán","388","17","2008"
"663","fekete nyár","667","39","2011"
"664","nagylevelű hárs","563","169","2008"
"665","törökmogyoró","347","290","2005"
"666","közönséges bükk","411","6","2010"
"667","kocsányos tölgy","558","154","2003"
"668","közönséges bükk","444","120","2010"
"669","közönséges bükk","444","230","2003"
"670","fekete nyár","625","86","2007"
"671","közönséges bükk","408","32","2011"
"672","kocsányos tölgy","630","41","2003"
"673","csertölgy","519","3","2009"
"674","kocsányos tölgy","502","291","2008"
"675","szelídgesztenye","509","292","2006"
"676","közönséges bükk","472","214","2004"
"677","fehér fűz","613","45","2009"
"678","közönséges bükk","414","47","2010"
"679","kislevelű hárs","558","293","2007"
"680","fekete nyár","695","41","2011"
"681","kocsányos tölgy","575","294","2004"
"682","közönséges bükk","450","144","2010"
"683","fekete nyár","637","246","2006"
"684","kocsányos tölgy","507","295","2004"
"685","gyertyán","360","111","2011"
"686","kocsányos tölgy","578","60","2003"
"687","közönséges bükk","469","127","2009"
