"id","nev","megyeid"
"113","Csurgónagymarton","14"
"114","Ikervár","17"
"115","Szőke","2"
"116","Balatoncsicsó","18"
"117","Vése","14"
"118","Szarvas","3"
"119","Alcsútdoboz","6"
"120","Borsodnádasd","4"
"121","Szőcsénypuszta","14"
"122","Gödöllő","13"
"123","Köröstarcsa","3"
"124","Darány","14"
"125","Komjáti","4"
"126","Tapsony","14"
"127","Somogyviszló","2"
"128","Ugod","18"
"129","Sárospatak","4"
"130","Ásványráró","7"
"131","Barcs","14"
"132","Sellye","2"
"133","Tornyiszentmiklós","19"
"134","Boncodfölde","19"
"135","Gibárt","4"
"136","Komárom","11"
"137","Süttő","11"
"138","Ivánc","17"
"139","Nagyszakácsi","14"
"140","Kenyeri","17"
"141","Nagyatád","14"
"142","Halászi","7"
"143","Mihályi","7"
"144","Kárász","2"
"145","Gyulavári","3"
"146","Pogányvár","19"
"147","Pölöske","19"
"148","Kétújfalu","2"
"149","Szabadkígyós","3"
"150","Uzsa","18"
"151","Sopronhorpács","7"
"152","Zsennye","17"
"153","Pörböly","16"
"154","Bolhó","14"
"155","Dömsöd","13"
"156","Nyíradony","8"
"157","Szentbalázs","14"
"158","Rátót","17"
"159","Dunakiliti","7"
"160","Körmend","17"
"161","Tata","11"
"162","Szombathely","17"
"163","Velem","17"
"164","Orosipuszta","3"
"165","Ganna","18"
"166","Budapest","13"
"167","Kákics","2"
"168","Sé","17"
"169","Márianosztra","13"
"170","Kab-hegy","18"
"171","Csipkéskút","4"
"172","Szank","1"
"173","Battonya","3"
"174","Szilvásvárad","9"
"175","Hernádcéce","4"
"176","Mezőberény","3"
"177","Adony","6"
"178","Dég","6"
"179","Zalahaláp","18"
"180","Szentgál","18"
"181","Jávorkút","4"
"182","Matty","2"
"183","Vasszécseny","17"
"184","Vereb","6"
"185","Sárhatvan","6"
"186","Sárszentlőrinc","16"
"187","Ragály","4"
"188","Révfalu","2"
"189","Mesztegnyő","14"
"190","Szabadbattyán","6"
"191","Somogyudvarhely","14"
"192","Tamási","16"
"193","Balatonhenye","18"
"194","Téglás","8"
"195","Deszk","5"
"196","Ács","11"
"197","Nagydobsza","2"
"198","Lajosháza","14"
"199","Antalszállás","2"
"200","Fehérvárcsurgó","6"
"201","Vasvár","17"
"202","Tatabánya","11"
"203","Pusztamarót","11"
"204","Székesheférvár","6"
"205","Tótújfalu","14"
"206","Dióspuszta","2"
"207","Gadány","14"
"208","Mosonmagyaróvár","7"
"209","Réde","11"
"210","Nógrád","12"
"211","Kishuta","4"
"212","Alsóberecki","4"
"213","Nagytilaj","17"
"214","Barátipuszta","19"
"215","Somogyvár","14"
"216","Debrecen","8"
"217","Egyed","7"
"218","Nagykutas","19"
"219","Paks","16"
"220","Kisköre","9"
"221","Boldogkőváralja","4"
"222","Surd","19"
"223","Károlyfalva","4"
"224","Segesd","14"
"225","Tótszentgyörgy","2"
"226","Hencse","14"
"227","Hajmáspuszta","18"
"228","Tiszacsege","8"
"229","Répáshuta","4"
"230","Szuha","12"
"231","Mikekarácsonyfa","19"
"232","Szécsisziget","19"
"233","Révleányvár","4"
"234","Szigetbecse","13"
"235","Hédervár","7"
"236","Börzsöny","13"
"237","Doba","18"
"238","Bazsi","18"
"239","Hegyhátszentmárton","17"
"240","Somogyfajsz","14"
"241","Molvány","2"
"242","Hajmáspuszta","11"
"243","Nadap","6"
"244","Kerkakutas","19"
"245","Seregélyes","6"
"246","Rum","17"
"247","Somogyhatvan","2"
"248","Baja","1"
"249","Bakóca","2"
"250","Tiszaigar","10"
"251","Balajt","4"
"252","Teklafalu","2"
"253","Rinyabesenyő","14"
"254","Ötvöskónyi","14"
"255","Egyházashetye","17"
"256","Felsőszentmárton","2"
"257","Potony","14"
"258","Réde","18"
"259","Drávatamási","14"
"260","Mór","6"
"261","Zselickisfalud","14"
"262","Keszthely","19"
"263","Bokod","11"
"264","Pácin","4"
"265","Putnok","4"
"266","Tormafölde","19"
"267","Szentgyörgyvár","19"
"268","Gyula","3"
"269","Zsira","17"
"270","Agárd","6"
"271","Gerla","3"
"272","Tiszadada","15"
"273","Balatonfüred","18"
"274","Gyúró","6"
"275","Pusztavám","6"
"276","Zádor","2"
"277","Máhomfa","19"
"278","Kisszentmárton","2"
"279","Börzsöny","12"
"280","Szebény","2"
"281","Helesfa","2"
"282","Mátraháza","9"
"283","Szeged","5"
"284","Drávaszentes","14"
"285","Kisgyőr","4"
"286","Zomba","16"
"287","Bélmegyer","3"
"288","Tiszakürt","10"
"289","Nagykölked","17"
"290","Romhány","12"
"291","Cserépfalu","4"
"292","Újudvar","19"
"293","Gencsapáti","17"
"294","Szalafő","17"
"295","Galgamácsa","13"
"296","Kisdobsza","2"
"297","Csertő","2"
"298","Sonkád","15"
"299","Oroszlány","11"
"300","Nagykovácsi","13"
"301","Bükk-fennsík","9"
"302","Bárdudvarnok","14"
"303","Pécs","2"
"304","Mártély","5"
"305","Tornyópuszta","11"
"306","Peresznye","17"
"307","Dóc","5"
"308","Őriszentpéter","17"
"309","Borsodivánka","4"
"310","Homokszentgyörgy","14"
"311","Hajdúböszörmény","8"
"312","Bodrogolaszi","4"
"313","Börzönce","19"
"314","Uraiújfalu","17"
"315","Rigyác","19"
"316","Almamellék","2"
"317","Tiszabecs","15"
"318","Gyöngyös","9"
"319","Guthi erdészet","8"
"320","Drávapalkonya","2"
"321","Becsvölgye","19"
"322","Kisbózsva","4"
"323","Velence","6"
"324","Kám","17"
"325","Lengyel","16"
"326","Hidasnémeti","4"
"327","Oroklán","19"
"328","Kehidakustány","19"
"329","Alsóbogát","14"
"330","Egerbakta","9"
"331","Bábolna","7"
"332","Szabatonpuszta","16"
"333","Nemesnép","19"
"334","Gyöngyösfalu","17"
"335","Nagyrábé","8"
"336","Pusztavacs","13"
"337","Darnó","15"
"338","Tornaszentjakab","4"
"339","Maroslele","5"
"340","Csala","6"
"341","Tarpa","15"
"342","Gic","18"
"343","Harkakötöny","1"
"344","Csákvár","6"
"345","Nagyváty","2"
"346","Bögöte","17"
"347","Nemesdéd","14"
"348","Nagykorpád","14"
"349","Hőgyész","16"
"350","Bozsok","17"
"351","Szigetvár","2"
"352","Bogdása","2"
"353","Tömörd","17"
"354","Lovászpatona","18"
"355","Hajdúhadház","8"
"356","Szulimán","2"
"357","Csipkerek","17"
"358","Sülysáp","13"
"359","Örvényes","18"
"360","Kisbér","11"
"361","Jánkmajtis","15"
"362","Miskolc","4"
"363","Muraszemenye","19"
"364","Káld","17"
"365","Kercaszomor","17"
"366","Sitke","17"
"367","Orosztony","19"
"368","Vásárosnamény","15"
"369","Ziliz","4"
"370","Budafapuszta","19"
"371","Torony","17"
"372","Császló","15"
"373","Gersekarát","17"
"374","Csepreg","17"
"375","Szabolcsbáka","15"
"376","Mikepércs","8"
"377","Felsőtárkány","9"
"378","Gyűrűfű","2"
"379","Pócsmegyer","13"
"380","Tunyogmatolcs","15"
"381","Káloz","6"
"382","Vajdácska","4"
"383","Óbánya","2"
"384","Encs","4"
"385","Gyermely","11"
"386","Nyésta","4"
"387","Tárnok","13"
"388","Békéscsaba","3"
"389","Gór","17"
"390","Vászoly","18"
"391","Gönc","4"
"392","Vorhota","19"
"393","Bogát","17"
"394","Előszállás","6"
"395","Oszkó","17"
"396","Nagykőrös","13"
"397","Zalabaksa","19"
"398","Káptalanfa","18"
"399","Szőkedencs","14"
"400","Földeák","5"
"401","Iklódbördőce","17"
